shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
bbc2c68d-c096-483d-abf4-32c0175a0f55,6,12,12,0.4,0.16666666666666666,1.8333333333333333,2.309205530806167,3.0,2.0,0.2,0.5173717248153872
b2c3d59d-3bef-4f8a-ad86-26b69940c64e,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
bb53b537-1685-4019-9e8f-98f3805828eb,6,6,6,0.2,0.0,,1.0000000000000002,2.0,1.0,0.45,0.0
0247fb51-7bf7-4be6-82d7-bf63892bdd53,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
5d2bf27b-dd07-4895-8744-1673b235fcec,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
7350b239-c1ab-44b2-9c25-0387553bd338,2,1,1,0.5,0.0,,0.0,,,,
be78c5ab-d396-4c44-8253-d48373ead6b3,2,1,1,0.5,0.0,,0.0,,,,
8cf6ed6f-59f8-455f-8930-f5b71f06c180,8,6,6,0.10714285714285714,0.0,,0.0,1.0,0.0,0.0,0.0
68ccb2b1-d605-4f46-a725-de0ab09acb96,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
df7d8278-f139-4102-9e6e-3c77d3d575c3,0,0,0,,,,,,,,
96146263-06f4-4694-8e44-44658af8b8f5,3,3,3,0.5,1.0,1.5,0.9999999999999999,1.0,1.0,0.5,0.5773502691896257
7b3398ab-6dae-42ec-8b11-0cd333d6b085,9,14,15,0.19444444444444445,0.2712926411988367,2.4097222222222223,1.891994862171111,2.0,1.0,0.1607142857142857,0.41681599034141387
5085715b-09f6-403c-8b67-a546bcfed0ec,7,11,11,0.2619047619047619,0.23809523809523808,,1.8793852415718169,2.0,1.0,0.0,0.0
ec3f4afc-df7d-4a53-98a2-508e21c040eb,7,9,9,0.21428571428571427,0.3333333333333333,,1.5213797068045667,2.0,1.0,0.06666666666666667,0.0
0af7b077-170b-4ca3-a61f-4ecb4aba33d1,0,0,0,,,,,,,,
d6a308ca-0f8f-44d5-ad64-aa8870e489ce,8,10,10,0.17857142857142858,0.20833333333333331,,1.4291083198381471,2.0,1.0,0.19047619047619047,0.0
4a223f2d-3c3f-4655-b561-9c43a03b0f42,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
dcc0c591-7ebd-4e42-8206-04bfefa94f33,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
452ac1fc-6e97-459f-8819-62bc82078292,7,11,13,0.2619047619047619,0.18898815748423095,,2.476615652759172,1.0,0.0,0.0,0.0
345c34d9-2c2f-4cec-860e-3b3704ebc4f3,9,9,9,0.125,0.0,,1.0,1.0,0.0,0.0,0.0
6627cd42-a35b-4e4e-9fd3-05d3269bca36,0,0,0,,,,,,,,
3d1c53e1-4b07-4648-806c-2dc0b2ee5347,0,0,0,,,,,,,,
bcdb8320-5e4f-4c64-910a-f4ff7ace5e8b,7,13,17,0.30952380952380953,0.0,1.6428571428571428,2.7087361891610366,2.0,1.0,0.13333333333333333,0.22090054355830413
e8d3770b-03dd-4a04-b39d-36e92279706b,9,15,15,0.20833333333333334,0.3925925925925926,,2.06569940907318,3.0,2.0,0.25,0.0
935e22db-fc36-4f7d-80de-91ae9a498112,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
d27222fa-f94e-4c78-9dcb-481abe654c5e,7,7,7,0.16666666666666666,0.21428571428571427,,0.9999999999999999,1.0,0.0,0.0,0.0
0b766590-dff1-4670-baae-b960fab33f6d,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
3b2ebed6-0c37-4fb7-aef4-62a03d6244b9,2,1,1,0.5,0.0,,0.0,,,,
4727fe03-748c-4003-932c-08089fce4903,2,1,1,0.5,0.0,,0.0,,,,
f5dea30a-5df6-4639-94dd-8319d9c8b256,0,0,0,,,,,,,,
cc22cb9b-7162-499c-bcbb-ada646e7321e,8,8,8,0.14285714285714285,0.0,,0.9999999999999996,,,,
7b0a71e0-997f-4128-82fe-bc896f6c3b93,5,4,4,0.2,0.0,,0.0,1.0,0.0,0.0,0.0
020286f7-259d-4f4e-91a6-e1a361609c4a,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
020d62c6-44da-4187-b187-80ef2d57b0af,10,15,16,0.16666666666666666,0.06719578932772656,,2.1139463204458813,1.0,0.0,0.0,0.0
c30b8aae-d325-46cd-9027-63daceb5b4c1,9,16,18,0.2222222222222222,0.1907334305458216,,2.3454647518111367,2.0,1.0,0.17857142857142855,0.0
5332b262-7816-452d-a1fd-7b48af8459ff,5,9,9,0.45,0.7666666666666666,1.6,2.0229811285248736,1.0,1.0,0.0,0.3003247003908482
