player,n_shots,good_decision_rate,avg_passes_prev,avg_clustering,avg_shooter_betweenness,avg_shooter_eigenvector
Gustavo Adolfo Puerta Molano,2,1.0,13.5,0.08705267884432778,0.048611111111111105,0.0
Adam Hložek,19,0.7894736842105263,9.210526315789474,0.1529564711917512,0.03333333333333333,0.046073643705894014
Odilon Kossonou,4,0.75,8.25,0.2195235090019825,0.06547619047619047,0.0
Borja Iglesias Quintas,7,0.7142857142857143,10.428571428571429,0.2062809939884236,0.13809523809523808,0.11224192038038257
Nadiem Amiri,3,0.6666666666666666,23.333333333333332,0.24510311730651183,0.17724867724867724,0.1672868032417463
Exequiel Alejandro Palacios,21,0.6190476190476191,9.333333333333334,0.10078404531702974,0.10102707749766573,0.05431448532645961
Jeremie Frimpong,55,0.5818181818181818,7.5636363636363635,0.11573799199955921,0.0625151565255732,0.05452981787513806
Jonas Hofmann,61,0.5737704918032787,9.295081967213115,0.14638374977429794,0.0722029822029822,0.0543764987621231
Florian Wirtz,69,0.5652173913043478,8.289855072463768,0.11405076372121957,0.08764080901177675,0.047440265790585426
Amine Adli,25,0.56,5.6,0.07931482090110364,0.1128968253968254,0.07757651984646508
Piero Martín Hincapié Reyna,18,0.5555555555555556,6.666666666666667,0.05799307277243336,0.08485863095238096,0.09667015630828095
Granit Xhaka,42,0.5476190476190477,7.380952380952381,0.18990044943604031,0.23617376775271512,0.11863640488519338
Victor Okoh Boniface,77,0.5454545454545454,8.220779220779221,0.12077400651205887,0.03319203944203944,0.026743404272182743
Robert Andrich,23,0.5217391304347826,5.608695652173913,0.06863069853532026,0.0849906629318394,0.034782181381353715
Patrik Schick,40,0.5,10.975,0.17719233424023456,0.04660997732426304,0.024879987667757054
Edmond Fayçal Tapsoba,12,0.5,5.833333333333333,0.04575109146547305,0.06188492063492064,0.03860288598101537
Arthur Augusto de Matos Soares,2,0.5,11.0,0.08011410078825003,0.0,0.0
Jonathan Tah,24,0.5,4.375,0.01909959292228941,0.0669753086419753,0.055370524541295076
Alejandro Grimaldo García,68,0.45588235294117646,8.117647058823529,0.17970829667513552,0.11478309577799374,0.08031181759727525
Josip Stanišić,9,0.4444444444444444,7.666666666666667,0.09332144783345825,0.02306547619047619,0.030764533540922387
Nathan Tella,20,0.35,9.85,0.12526924603329942,0.1275573192239859,0.06687262819947468
Noah Mbamba,1,0.0,22.0,0.1320932892410642,0.4861111111111111,0.0
