player,good_decision,n_shots
Gustavo Adolfo Puerta Molano,1.0,2
Adam Hložek,0.7894736842105263,19
Odilon Kossonou,0.75,4
Borja Iglesias Quintas,0.7142857142857143,7
Nadiem Amiri,0.6666666666666666,3
Exequiel Alejandro Palacios,0.6190476190476191,21
Jeremie Frimpong,0.5818181818181818,55
Jonas Hofmann,0.5737704918032787,61
Florian Wirtz,0.5652173913043478,69
Amine Adli,0.56,25
Piero Martín Hincapié Reyna,0.5555555555555556,18
Granit Xhaka,0.5476190476190477,42
Victor Okoh Boniface,0.5454545454545454,77
Robert Andrich,0.5217391304347826,23
Patrik Schick,0.5,40
Edmond Fayçal Tapsoba,0.5,12
Arthur Augusto de Matos Soares,0.5,2
Jonathan Tah,0.5,24
Alejandro Grimaldo García,0.45588235294117646,68
Josip Stanišić,0.4444444444444444,9
Nathan Tella,0.35,20
Noah Mbamba,0.0,1
